涉及告警基站或小区名称,告警标题,告警发生时间
0c907bc3a06681cfbff8ee601563eb83,射频单元交流掉电告警,01-FEB-2019 00:16:40
0c0a0a482a3ea15c1a93514e6433c346,SCTP链路故障告警,01-FEB-2019 00:54:03
6bebebc1c7915f13205958c9ae912bc7,SCTP链路故障告警,01-FEB-2019 00:18:51
0c0a0a482a3ea15c1a93514e6433c346,SCTP链路故障告警,01-FEB-2019 00:54:03
a93680044c7aa0634af2b7b924df0055,SCTP链路故障告警,01-FEB-2019 00:18:35
272baf524bd5748be006064f53eeef93,SCTP链路故障告警,01-FEB-2019 00:05:24
a93680044c7aa0634af2b7b924df0055,SCTP链路故障告警,01-FEB-2019 00:53:56
0c0a0a482a3ea15c1a93514e6433c346,SCTP链路故障告警,01-FEB-2019 00:54:04
78ba01e4614a27abd173edbbde68be62,SCTP链路故障告警,01-FEB-2019 00:54:27
0c0a0a482a3ea15c1a93514e6433c346,SCTP链路故障告警,01-FEB-2019 00:54:03
bb3c40406fd0f1f064afe7daeb52175b,用户面故障告警,01-FEB-2019 00:04:24
29c7de1967c7734dacf452f695972213,SCTP链路故障告警,01-FEB-2019 00:44:39
0c0a0a482a3ea15c1a93514e6433c346,SCTP链路故障告警,01-FEB-2019 00:54:00
a93680044c7aa0634af2b7b924df0055,SCTP链路故障告警,01-FEB-2019 00:54:00
d45ee137b66e6cff87c3d24652d4efb1,S1接口故障告警,01-FEB-2019 00:11:14
a93680044c7aa0634af2b7b924df0055,SCTP链路故障告警,01-FEB-2019 00:19:07
a93680044c7aa0634af2b7b924df0055,S1接口故障告警,01-FEB-2019 00:25:01
0c0a0a482a3ea15c1a93514e6433c346,SCTP链路故障告警,01-FEB-2019 00:18:54
0c0a0a482a3ea15c1a93514e6433c346,SCTP链路故障告警,01-FEB-2019 00:18:58
93bf356c3c4258c2851318cc6d0bdd30,SCTP链路故障告警,01-FEB-2019 00:19:29

